Aidat,Banyo Sayısı,Bina Yaşı,Brüt / Net M2,Bulunduğu Kat,Depozito,Eşya Durumu,Fiyat,Isınma Tipi,Kat Sayısı,Konut Şekli,Kullanım Durumu,Oda + Salon Sayısı,Son Güncelleme Tarihi,Yakıt Tipi,Yapı Tipi,Yapının Durumu,İlan Durumu,İlan no,Cephe ,Site İçerisinde,Krediye Uygunluk,Takas,Tapu Durumu,Kira Getirisi
30 TL,1,12 Yaşında,130 m2,3. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,3 Katlı,Daire,Boş,3 + 1,3 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,60186-3089,,,,,,
35 TL,1,17 Yaşında,135 m2,3. Kat,"1,500 TL",Eşyalı Değil,"
1,500 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,12 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,76774-2710,"Kuzey, ",,,,,
50 TL,1,35 Yaşında,125 m2,5. Kat,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,6 Katlı,Daire,Boş,3 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,65633-676,"Güney, ",,,,,
30 TL,1,17 Yaşında,100 m2,Yüksek Giriş,"1,000 TL",Eşyalı Değil,"
1,000 TL
",Kombi,2 Katlı,Daire,Boş,2 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,76774-2709,"Güney, ",,,,,
1 TL,1,Sıfır Bina,70 m2,Yüksek Giriş,"2,600 TL",Eşyalı,"
2,600 TL
",Merkezi,4 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,37563-3812,"Güney, ",,,,,
,1,50 Yaşında,90 m2,1. Kat,"1,600 TL",Eşyalı Değil,"
1,600 TL
",Kombi,3 Katlı,Daire,Kiracı Oturuyor,2 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1124-5096,Batı,,,,,
,1,45 Yaşında,90 m2,Kot 1,"1,400 TL",Eşyalı Değil,"
1,400 TL
",Kombi,4 Katlı,Daire,Ev Sahibi Oturuyor,2 + 120,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,1124-5124,"Kuzey, ",,,,,
50 TL,1,20 Yaşında,170 m2,2. Kat,"1,950 TL",Eşyalı Değil,"
1,950 TL
",Kombi,4 Katlı,Daire,Boş,4 + 1,Bugün,Doğalgaz,Betonarme,İkinci El,Kiralık,114252-83,"Güney, ",,,,,
240 TL,1,21 Yaşında,80 m2,Giriş Katı,"5,400 TL",Eşyalı Değil,"
2,350 TL
",Merkezi,4 Katlı,Daire,Boş,1 + 1,Bugün,Doğalgaz,Betonarme,Sıfır,Kiralık,3584-25952,"Güney, ",,,,,
465 TL,1,10 Yaşında,85 m2,3. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Merkezi (Pay Ölçer),7 Katlı,Daire,Boş,1 + 1,2 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,5338-6703,"Güney, ",PARK LİMA,,,,
200 TL,1,Sıfır Bina,110 m2,3. Kat,"3,000 TL",Eşyalı Değil,"
3,000 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,2 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,29144-903,Güney,,,,,
40 TL,1,3 Yaşında,125 m2,Yüksek Giriş,"1,200 TL",Eşyalı Değil,"
1,200 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,2 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,122387-9,"Güney, ",,,,,
25 TL,1,2 Yaşında,60 m2,2. Kat,"1,250 TL",Eşyalı,"
1,250 TL
",Kombi,2 Katlı,Daire,Boş,1 + 1,2 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,90826-276,Doğu,,,,,
475 TL,2,7 Yaşında,225 m2,15. Kat,,Eşyalı Değil,"
4,600 TL
",Merkezi (Pay Ölçer),27 Katlı,Daire,Boş,4 + 1,3 Gün Önce,Doğalgaz,Betonarme,,Kiralık,40409-3694,"Kuzey, ",HAYALPARK EVLERİ,,,,
,1,10 Yaşında,150 m2,Ara Kat,,Eşyalı Değil,"
8,500 TL
",Merkezi (Pay Ölçer),32 Katlı,Daire,,4 + 2,70 Gün Önce,,,,Kiralık,4129-1384,,,,,,
"1,700 TL",5,5 Yaşında,256 m2,21 ve üzeri,,Eşyalı Değil,"
20,000 TL
",Merkezi,30 Katlı,Daire,,5 + 1,11 Gün Önce,,,,Kiralık,4129-1620,,,,,,
75 TL,1,Sıfır Bina,75 m2,2. Kat,,Eşyalı Değil,"
2,600 TL
",Kombi,3 Katlı,Daire,Boş,1 + 1,3 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,114144-570,Doğu,,,,,
150 TL,2,15 Yaşında,220 m2,1. Kat,"10,000 TL",Eşyalı,"
5,000 TL
",Kombi,4 Katlı,Daire,Boş,4 + 1,139 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,6632-1700,"Güney, ",,,,,
580 TL,1,40 Yaşında,125 m2,3. Kat,"6,000 TL",Eşyalı,"
3,200 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,22 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,6632-1720,"Güney, ",,,,,
,2,35 Yaşında,140 m2,Yüksek Giriş,"2,500 TL",Eşyalı,"
2,450 TL
",Merkezi,5 Katlı,Daire,Boş,3 + 1,45 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,6632-1365,"Güney, ",,,,,
110 TL,1,25 Yaşında,120 m2,2. Kat,"2,000 TL",Eşyalı Değil,"
1,850 TL
",Kombi,4 Katlı,Daire,Boş,3 + 1,103 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,6632-1699,"Kuzey, ",,,,,
400 TL,2,1 Yaşında,130 m2,1. Kat,"5,000 TL",Eşyalı Değil,"
3,250 TL
",Merkezi (Pay Ölçer),27 Katlı,Daire,Boş,2 + 1,4 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,113838-376,"Kuzey, ",DURU BEYTEPE,,,,
,2,Sıfır Bina,210 m2,7. Kat,"10,500 TL",Eşyalı Değil,"
4,250 TL
",Merkezi (Pay Ölçer),16 Katlı,Daire,Boş,4 + 1,157 Gün Önce,Doğalgaz,Betonarme,Sıfır,Kiralık,63021-5978,"Güney, ",BAŞKENT EMLAK KONUTLARI,,,,
,1,Sıfır Bina,65 m2,2. Kat,,Eşyalı Değil,"
3,000 TL
",Kombi,3 Katlı,Daire,,1 + 1,7 Gün Önce,,,,Kiralık,16512-2108,,,,,,
,1,Sıfır Bina,90 m2,2. Kat,,Eşyalı Değil,"
2,700 TL
",Kombi,4 Katlı,Daire,,1 + 1,11 Gün Önce,,,,Kiralık,16512-2102,,,,,,
40 TL,1,26 Yaşında,110 m2,1. Kat,"1,700 TL",Eşyalı Değil,"
1,700 TL
",Kombi,3 Katlı,Daire,Kiracı Oturuyor,3 + 1,21 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,11853-1008,"Güney, ",,,,,
400 TL,2,30 Yaşında,120 m2,2. Kat,"1,750 TL",Eşyalı Değil,"
1,750 TL
",Merkezi,3 Katlı,Daire,Boş,3 + 1,4 Gün Önce,Doğalgaz,Betonarme,İkinci El,Kiralık,42363-873,"Güney, ",,,,,
